gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,pop_weighted
ES_01001,-2.5108399237740056,42.84130393163016,ES,ES21,ES211,01001,Alegría-Dulantzi,2935,19.94546187,2020,ES_01001,TRUE
ES_01002,-3.0020909842358394,43.05076986345539,ES,ES21,ES211,01002,Amurrio,10264,96.33036404,2020,ES_01002,TRUE
ES_01003,-2.567791775988401,43.049477777350134,ES,ES21,ES211,01003,Aramaio,1442,73.27197427,2020,ES_01003,TRUE
ES_01004,-3.132044563632339,43.123889643387066,ES,ES21,ES211,01004,Artziniega,1800,27.30627457,2020,ES_01004,TRUE
ES_01006,-2.862712385782331,42.72617374814376,ES,ES21,ES211,01006,Armiñón,223,12.93877582,2020,ES_01006,TRUE
ES_01008,-2.621576132737315,42.88387772417984,ES,ES21,ES211,01008,Arratzua-Ubarrundia,984,57.56549867,2020,ES_01008,TRUE
ES_01009,-2.3113920675264583,42.88929252744524,ES,ES21,ES211,01009,Asparrena,1623,65.34921666,2020,ES_01009,TRUE
ES_01010,-3.008697416498367,43.09231036571336,ES,ES21,ES211,01010,Ayala / Aiara,2968,140.74912492,2020,ES_01010,TRUE
ES_01011,-2.679909161032049,42.533389139518825,ES,ES21,ES211,01011,Baños de Ebro / Mañueta,294,9.45333049,2020,ES_01011,TRUE
ES_01013,-2.496400682421585,42.90720054007352,ES,ES21,ES211,01013,Barrundia,881,97.38054349,2020,ES_01013,TRUE
ES_01014,-2.860387733579028,42.68436687508404,ES,ES21,ES211,01014,Berantevilla,463,35.69752947,2020,ES_01014,TRUE
ES_01016,-2.517054297576781,42.64691415473712,ES,ES21,ES211,01016,Bernedo,507,130.44503099,2020,ES_01016,TRUE
ES_01017,-2.350787880616502,42.668259990416836,ES,ES21,ES211,01017,Campezo / Kanpezu,1034,85.39469663,2020,ES_01017,TRUE
ES_01018,-2.7279517671983555,42.94899328305117,ES,ES21,ES211,01018,Zigoitia,1749,102.08117206,2020,ES_01018,TRUE
ES_01019,-2.5193431366411896,42.59031571775127,ES,ES21,ES211,01019,Kripan,178,12.50537513,2020,ES_01019,TRUE
ES_01020,-2.9124968291309146,42.87779074353397,ES,ES21,ES211,01020,Kuartango,385,84.09053203,2020,ES_01020,TRUE
ES_01021,-2.5476677766332263,42.86064168708742,ES,ES21,ES211,01021,Elburgo / Burgelu,608,32.09269743,2020,ES_01021,TRUE
ES_01022,-2.627449333189999,42.50381314088471,ES,ES21,ES211,01022,Elciego,1001,16.32074418,2020,ES_01022,TRUE
ES_01023,-2.539638724560616,42.569537765973735,ES,ES21,ES211,01023,Elvillar / Bilar,330,17.50926608,2020,ES_01023,TRUE
ES_01027,-2.4420476330408003,42.835437794140034,ES,ES21,ES211,01027,Iruraiz-Gauna,532,47.15452441,2020,ES_01027,TRUE
ES_01028,-2.8008878070234644,42.58983757488681,ES,ES21,ES211,01028,Labastida / Bastida,1517,38.20961467,2020,ES_01028,TRUE
ES_01030,-2.5886887630192876,42.62577221059024,ES,ES21,ES211,01030,Lagrán,162,45.60557779,2020,ES_01030,TRUE
ES_01031,-2.5857865533993993,42.5546350015778,ES,ES21,ES211,01031,Laguardia,1454,80.90857368,2020,ES_01031,TRUE
ES_01032,-2.513526807133934,42.56360912309835,ES,ES21,ES211,01032,Lanciego / Lantziego,709,24.24339886,2020,ES_01032,TRUE
ES_01033,-2.5726969339333947,42.49240805462528,ES,ES21,ES211,01033,Lapuebla de Labarca,865,5.99835086,2020,ES_01033,TRUE
ES_01034,-2.6376354127356656,42.566415183226766,ES,ES21,ES211,01034,Leza,211,9.93131729,2020,ES_01034,TRUE
ES_01036,-2.9623602981826886,43.144122199054735,ES,ES21,ES211,01036,Laudio / Llodio,18118,37.55367395,2020,ES_01036,TRUE
ES_01037,-2.44430893144188,42.739136554720105,ES,ES21,ES211,01037,Arraia-Maeztu,733,123.06559826,2020,ES_01037,TRUE
ES_01039,-2.406470774507906,42.52254607994779,ES,ES21,ES211,01039,Moreda de Álava / Moreda Araba,211,8.6511729,2020,ES_01039,TRUE
ES_01041,-2.6211089943477845,42.546688971069365,ES,ES21,ES211,01041,Navaridas,194,8.91428117,2020,ES_01041,TRUE
ES_01042,-3.0267961074410703,43.15589625160692,ES,ES21,ES211,01042,Okondo,1203,29.87712379,2020,ES_01042,TRUE
ES_01043,-2.439354843435917,42.5038818442669,ES,ES21,ES211,01043,Oyón-Oion,3410,45.1940959,2020,ES_01043,TRUE
ES_01044,-2.715678357642542,42.649668012485414,ES,ES21,ES211,01044,Peñacerrada-Urizaharra,262,62.14103516,2020,ES_01044,TRUE
ES_01046,-2.903866293648902,42.79919381929404,ES,ES21,ES211,01046,Erriberagoitia / Ribera Alta,782,119.79977096,2020,ES_01046,TRUE
ES_01047,-2.9163386071688095,42.71366512909296,ES,ES21,ES211,01047,Ribera Baja / Erribera Beitia,1383,25.38871892,2020,ES_01047,TRUE
ES_01049,-2.986747520848541,42.805515883688564,ES,ES21,ES211,01049,Añana,149,21.92870984,2020,ES_01049,TRUE
ES_01051,-2.3888818916633596,42.85040130107768,ES,ES21,ES211,01051,Agurain / Salvatierra,5038,37.77444722,2020,ES_01051,TRUE
ES_01052,-2.675543244235638,42.57057117211717,ES,ES21,ES211,01052,Samaniego,315,10.64732359,2020,ES_01052,TRUE
ES_01053,-2.3345177981607055,42.86117288202434,ES,ES21,ES211,01053,San Millán / Donemiliaga,706,85.3952176,2020,ES_01053,TRUE
ES_01054,-2.8952363792424,42.95356412911737,ES,ES21,ES211,01054,Urkabustaiz,1386,60.79466303,2020,ES_01054,TRUE
ES_01055,-3.083056811828713,42.83303276768548,ES,ES21,ES211,01055,Valdegovía / Gaubea,986,238.31486348,2020,ES_01055,TRUE
ES_01056,-2.327984432699501,42.757604617964795,ES,ES21,ES211,01056,Harana / Valle de Arana,218,39.12729691,2020,ES_01056,TRUE
ES_01057,-2.6694487085912026,42.54419432551642,ES,ES21,ES211,01057,Villabuena de Álava / Eskuernaga,274,8.47437753,2020,ES_01057,TRUE
ES_01058,-2.6393075099818075,42.976685407181925,ES,ES21,ES211,01058,Legutio,1921,45.849104,2020,ES_01058,TRUE
ES_01059,-2.6757037125430836,42.85133347878239,ES,ES21,ES211,01059,Vitoria-Gasteiz,253996,276.63431366,2020,ES_01059,TRUE
ES_01060,-2.46609915381673,42.56957467906499,ES,ES21,ES211,01060,Yécora / Iekora,270,18.81663962,2020,ES_01060,TRUE
ES_01061,-2.3466577417133117,42.885269718487606,ES,ES21,ES211,01061,Zalduondo,185,11.88056983,2020,ES_01061,TRUE
ES_01062,-2.876646617197736,42.66268195178129,ES,ES21,ES211,01062,Zambrana,416,39.55094098,2020,ES_01062,TRUE
ES_01063,-2.823249294785945,42.9557280866976,ES,ES21,ES211,01063,Zuia,2300,122.50984195,2020,ES_01063,TRUE
ES_01901,-2.8118591166139715,42.81938778153874,ES,ES21,ES211,01901,Iruña Oka / Iruña de Oca,3488,53.24723369,2020,ES_01901,TRUE
ES_01902,-2.9854232328085746,42.74823773969202,ES,ES21,ES211,01902,Lantarón,877,67.46265935,2020,ES_01902,TRUE
ES_02001,-1.541692652207043,39.212066707227144,ES,ES42,ES421,02001,Abengibre,761,30.79913478,2020,ES_02001,TRUE
ES_02002,-1.3588378487490929,39.09863676507934,ES,ES42,ES421,02002,Alatoz,506,63.83683078,2020,ES_02002,TRUE
ES_02003,-1.861424936763764,38.99331158538074,ES,ES42,ES421,02003,Albacete,174336,1125.99642908,2020,ES_02003,TRUE
ES_02004,-1.5218610347819925,38.5682381805196,ES,ES42,ES421,02004,Albatana,679,30.53234919,2020,ES_02004,TRUE
ES_02005,-1.3927401481395945,39.277337859049624,ES,ES42,ES421,02005,Alborea,664,72.0639368,2020,ES_02005,TRUE
ES_02006,-1.9768072609096843,38.648740749926226,ES,ES42,ES421,02006,Alcadozo,647,99.60421554,2020,ES_02006,TRUE
ES_02007,-1.4313574925912653,39.19054336583921,ES,ES42,ES421,02007,Alcalá del Júcar,1194,146.78546707,2020,ES_02007,TRUE
ES_02008,-2.488052900742382,38.66565390898036,ES,ES42,ES421,02008,Alcaraz,1324,370.58294046,2020,ES_02008,TRUE
ES_02009,-1.0955732805365566,38.86744747578037,ES,ES42,ES421,02009,Almansa,24511,531.90956728,2020,ES_02009,TRUE
ES_02010,-1.2300924025233857,38.95852573681378,ES,ES42,ES421,02010,Alpera,2261,178.47420621,2020,ES_02010,TRUE
ES_02011,-2.0747062589792282,38.554811236158194,ES,ES42,ES421,02011,Ayna,591,146.64514736,2020,ES_02011,TRUE
ES_02012,-2.1516412841108705,38.88297271042302,ES,ES42,ES421,02012,Balazote,2327,65.13628576,2020,ES_02012,TRUE
ES_02013,-1.2009013531371924,39.26270073157424,ES,ES42,ES421,02013,Balsa de Ves,131,76.35582637,2020,ES_02013,TRUE
ES_02014,-2.4524357088965836,38.844105712024685,ES,ES42,ES421,02014,"Ballestero, El",396,138.70147529,2020,ES_02014,TRUE
ES_02015,-2.198998682485511,39.044920488109476,ES,ES42,ES421,02015,Barrax,1799,189.89523363,2020,ES_02015,TRUE
ES_02016,-2.611090565390054,38.520489750526494,ES,ES42,ES421,02016,Bienservida,579,90.74218639,2020,ES_02016,TRUE
ES_02017,-2.2175269984049684,38.58166522059172,ES,ES42,ES421,02017,Bogarra,807,166.04749237,2020,ES_02017,TRUE
ES_02018,-1.3498803798798622,38.871365195119026,ES,ES42,ES421,02018,Bonete,1029,125.01393973,2020,ES_02018,TRUE
ES_02019,-2.5414274939342425,38.951421148133875,ES,ES42,ES421,02019,"Bonillo, El",2723,502.69931706,2020,ES_02019,TRUE
ES_02020,-1.3130045212408832,39.103875539220994,ES,ES42,ES421,02020,Carcelén,495,75.39820792,2020,ES_02020,TRUE
ES_02021,-1.5573422078154506,39.102375251652866,ES,ES42,ES421,02021,Casas de Juan Núñez,1326,88.97613246,2020,ES_02021,TRUE
ES_02022,-2.24100346836249,38.77075540474884,ES,ES42,ES421,02022,Casas de Lázaro,348,112.31535285,2020,ES_02022,TRUE
ES_02023,-1.3310382497439281,39.257031580596575,ES,ES42,ES421,02023,Casas de Ves,563,125.11290505,2020,ES_02023,TRUE
ES_02024,-1.4730439785010527,39.28601208565337,ES,ES42,ES421,02024,Casas-Ibáñez,4544,103.19385727,2020,ES_02024,TRUE
ES_02025,-0.988731659456251,38.7034912191398,ES,ES42,ES421,02025,Caudete,10005,141.59971487,2020,ES_02025,TRUE
ES_02026,-1.6623001829132604,39.30032887945441,ES,ES42,ES421,02026,Cenizate,1194,63.26219957,2020,ES_02026,TRUE
ES_02027,-1.46322991839682,38.83162257741355,ES,ES42,ES421,02027,Corral-Rubio,311,94.78743777,2020,ES_02027,TRUE
ES_02028,-2.5029477236631608,38.434812424847415,ES,ES42,ES421,02028,Cotillas,118,14.44710013,2020,ES_02028,TRUE
ES_02029,-1.7217940010032817,38.912290200182994,ES,ES42,ES421,02029,Chinchilla de Monte-Aragón,4205,679.98620142,2020,ES_02029,TRUE
ES_02030,-2.0435319864078076,38.448267860908786,ES,ES42,ES421,02030,Elche de la Sierra,3520,239.45223638,2020,ES_02030,TRUE
ES_02031,-2.0085656988387526,38.35209190204424,ES,ES42,ES421,02031,Férez,629,126.14497708,2020,ES_02031,TRUE
ES_02032,-2.071446953354556,39.241511024233894,ES,ES42,ES421,02032,Fuensanta,291,23.94321421,2020,ES_02032,TRUE
ES_02033,-1.4290632852141048,38.69197712530033,ES,ES42,ES421,02033,Fuente-Álamo,2474,133.34050776,2020,ES_02033,TRUE
ES_02034,-1.5517968585694302,39.26700740461461,ES,ES42,ES421,02034,Fuentealbilla,1831,108.30900744,2020,ES_02034,TRUE
ES_02035,-1.9965629324381273,39.113044901544065,ES,ES42,ES421,02035,"Gineta, La",2548,136.70313601,2020,ES_02035,TRUE
ES_02036,-1.639479327941366,39.23865367621682,ES,ES42,ES421,02036,Golosalvo,98,28.17949772,2020,ES_02036,TRUE
ES_02037,-1.6980888487791919,38.50978372089782,ES,ES42,ES421,02037,Hellín,30200,781.32759419,2020,ES_02037,TRUE
ES_02038,-2.1224037683646695,38.95863148295224,ES,ES42,ES421,02038,"Herrera, La",322,63.45589816,2020,ES_02038,TRUE
ES_02039,-1.4397414207619121,38.96125153901146,ES,ES42,ES421,02039,Higueruela,1135,205.48746161,2020,ES_02039,TRUE
ES_02040,-1.5548508031350703,38.956520414646,ES,ES42,ES421,02040,Hoya-Gonzalo,630,114.58395892,2020,ES_02040,TRUE
ES_02041,-1.5233599082981955,39.17093659134159,ES,ES42,ES421,02041,Jorquera,342,67.95373893,2020,ES_02041,TRUE
ES_02042,-2.0998463636509057,38.365500675285006,ES,ES42,ES421,02042,Letur,892,263.64600838,2020,ES_02042,TRUE
ES_02043,-2.3396450356631546,38.9391531791934,ES,ES42,ES421,02043,Lezuza,1332,360.88412039,2020,ES_02043,TRUE
ES_02044,-1.9560422370151105,38.54161836431434,ES,ES42,ES421,02044,Liétor,1150,311.67961492,2020,ES_02044,TRUE
ES_02045,-1.8025728519537936,39.23687677825641,ES,ES42,ES421,02045,Madrigueras,4634,73.37800896,2020,ES_02045,TRUE
ES_02046,-1.727195549790814,39.20981516442994,ES,ES42,ES421,02046,Mahora,1362,108.15158274,2020,ES_02046,TRUE
ES_02047,-2.311993522417648,38.715904539098254,ES,ES42,ES421,02047,Masegoso,104,103.88345699,2020,ES_02047,TRUE
ES_02048,-2.3231205272805857,39.27128275766339,ES,ES42,ES421,02048,Minaya,1475,69.85164977,2020,ES_02048,TRUE
ES_02049,-2.242762516411538,38.4686044349608,ES,ES42,ES421,02049,Molinicos,813,143.57106028,2020,ES_02049,TRUE
ES_02050,-2.0231271071471566,39.164068688179704,ES,ES42,ES421,02050,Montalvos,88,24.76177628,2020,ES_02050,TRUE
ES_02051,-1.3285488013905489,38.78786918173538,ES,ES42,ES421,02051,Montealegre del Castillo,2041,177.86368538,2020,ES_02051,TRUE
ES_02052,-1.7921955596909758,39.17835249455608,ES,ES42,ES421,02052,Motilleja,578,23.79264403,2020,ES_02052,TRUE
ES_02053,-2.4793271351317574,39.041873682433966,ES,ES42,ES421,02053,Munera,3429,229.40793303,2020,ES_02053,TRUE
ES_02054,-1.7175290450836984,39.281971631977605,ES,ES42,ES421,02054,Navas de Jorquera,521,42.26860114,2020,ES_02054,TRUE
ES_02055,-2.3136296363911915,38.14849098365224,ES,ES42,ES421,02055,Nerpio,1178,435.7895379,2020,ES_02055,TRUE
ES_02056,-1.4957412087752657,38.616296550499655,ES,ES42,ES421,02056,Ontur,1976,54.38679227,2020,ES_02056,TRUE
ES_02057,-2.7425374775227627,38.96189273483107,ES,ES42,ES421,02057,Ossa de Montiel,2262,243.57668257,2020,ES_02057,TRUE
ES_02058,-2.347994646255936,38.599955962456264,ES,ES42,ES421,02058,Paterna del Madera,329,112.35583251,2020,ES_02058,TRUE
ES_02059,-2.4033112560338807,38.67714089288268,ES,ES42,ES421,02059,Peñascosa,333,189.25754327,2020,ES_02059,TRUE
ES_02060,-2.002144209722461,38.72895508248769,ES,ES42,ES421,02060,Peñas de San Pedro,1394,158.7356243,2020,ES_02060,TRUE
ES_02061,-1.5550621296390847,38.82669427407328,ES,ES42,ES421,02061,Pétrola,681,74.62663106,2020,ES_02061,TRUE
ES_02062,-2.598948972867993,38.69894360327108,ES,ES42,ES421,02062,Povedilla,405,49.44282626,2020,ES_02062,TRUE
ES_02063,-1.908742167102344,38.71724138236972,ES,ES42,ES421,02063,Pozohondo,1593,136.44357779,2020,ES_02063,TRUE
ES_02064,-1.5064555732833984,39.07813572622458,ES,ES42,ES421,02064,Pozo-Lorente,408,80.98448621,2020,ES_02064,TRUE
ES_02065,-2.0963894109678507,38.80773786872168,ES,ES42,ES421,02065,Pozuelo,469,133.78292761,2020,ES_02065,TRUE
ES_02066,-1.4884639981720886,39.174586716707395,ES,ES42,ES421,02066,"Recueja, La",231,29.74546,2020,ES_02066,TRUE
ES_02067,-2.4221274620486497,38.500277775816535,ES,ES42,ES421,02067,Riópar,1341,80.92214547,2020,ES_02067,TRUE
ES_02068,-2.4309138442036735,38.76465256996766,ES,ES42,ES421,02068,Robledo,376,120.10810065,2020,ES_02068,TRUE
ES_02069,-2.1585064947845383,39.20519443931148,ES,ES42,ES421,02069,"Roda, La",15527,398.87310453,2020,ES_02069,TRUE
ES_02070,-2.558762569670391,38.59877978928824,ES,ES42,ES421,02070,Salobre,470,49.51200011,2020,ES_02070,TRUE
ES_02071,-2.1832003455901994,38.82362782409106,ES,ES42,ES421,02071,San Pedro,1171,83.12376752,2020,ES_02071,TRUE
ES_02072,-1.9822005951262116,38.333764660572704,ES,ES42,ES421,02072,Socovos,1778,138.59275759,2020,ES_02072,TRUE
ES_02073,-1.9125128101063125,39.26240232935941,ES,ES42,ES421,02073,Tarazona de la Mancha,6187,212.78238816,2020,ES_02073,TRUE
ES_02074,-1.6881130764910832,38.59294092165549,ES,ES42,ES421,02074,Tobarra,7709,324.97595013,2020,ES_02074,TRUE
ES_02075,-1.6789931892066885,39.13336968056153,ES,ES42,ES421,02075,Valdeganga,1990,70.77971788,2020,ES_02075,TRUE
ES_02076,-2.503292300396784,38.635373749420076,ES,ES42,ES421,02076,Vianos,329,128.0281347,2020,ES_02076,TRUE
ES_02077,-1.263198428606898,39.21934687618427,ES,ES42,ES421,02077,Villa de Ves,61,57.54484911,2020,ES_02077,TRUE
ES_02078,-2.0590234335837905,39.29668383165067,ES,ES42,ES421,02078,Villalgordo del Júcar,1102,46.66078995,2020,ES_02078,TRUE
ES_02079,-1.6018445135044868,39.36174327685237,ES,ES42,ES421,02079,Villamalea,4070,128.02172483,2020,ES_02079,TRUE
ES_02080,-2.63271558162628,38.57335357933983,ES,ES42,ES421,02080,Villapalacios,583,87.52138754,2020,ES_02080,TRUE
ES_02081,-2.603434354540083,39.268022156325095,ES,ES42,ES421,02081,Villarrobledo,25116,862.47145079,2020,ES_02081,TRUE
ES_02082,-1.3378566804227756,39.331932009038404,ES,ES42,ES421,02082,Villatoya,109,18.83462122,2020,ES_02082,TRUE
ES_02083,-1.4562349625302473,39.12362801160027,ES,ES42,ES421,02083,Villavaliente,220,34.84148813,2020,ES_02083,TRUE
ES_02084,-2.5186384255221825,38.45625059196143,ES,ES42,ES421,02084,Villaverde de Guadalimar,325,69.07534903,2020,ES_02084,TRUE
ES_02085,-2.577957788769214,38.77278545322815,ES,ES42,ES421,02085,Viveros,329,65.34425757,2020,ES_02085,TRUE
ES_02086,-2.3175138679374614,38.36905322851298,ES,ES42,ES421,02086,Yeste,2614,511.2598756,2020,ES_02086,TRUE
ES_02901,-1.7361468873722425,38.802582341444904,ES,ES42,ES421,02901,Pozo Cañada,2791,116.99079405,2020,ES_02901,TRUE
ES_03001,-0.16203716397333423,38.85858602889972,ES,ES52,ES521,03001,"Atzúbia, l'",611,14.67010385,2020,ES_03001,TRUE
ES_03002,-0.6362212358774878,38.440148460920774,ES,ES52,ES521,03002,Agost,4794,66.65238207,2020,ES_03002,TRUE
ES_03003,-0.5174961590616325,38.78374342711911,ES,ES52,ES521,03003,Agres,564,25.82162565,2020,ES_03003,TRUE
ES_03004,-0.3612793032248276,38.50414331109181,ES,ES52,ES521,03004,Aigües,986,18.47723239,2020,ES_03004,TRUE
ES_03005,-0.8702137937328485,38.17826215567985,ES,ES52,ES521,03005,Albatera,12474,61.53345399,2020,ES_03005,TRUE
ES_03006,-0.03911287243030686,38.753541926382844,ES,ES52,ES521,03006,Alcalalí,1302,14.40224636,2020,ES_03006,TRUE
ES_03007,-0.4053350563835258,38.795723618546084,ES,ES52,ES521,03007,Alcocer de Planes,226,4.70876459,2020,ES_03007,TRUE
ES_03008,-0.327882081836677,38.67661206293826,ES,ES52,ES521,03008,Alcoleja,177,14.54140875,2020,ES_03008,TRUE
ES_03009,-0.477335267525532,38.700369710311875,ES,ES52,ES521,03009,Alcoy / Alcoi,59354,129.88789965,2020,ES_03009,TRUE
ES_03010,-0.5508534943231712,38.77177232594416,ES,ES52,ES521,03010,Alfafara,406,19.77649793,2020,ES_03010,TRUE
ES_03011,-0.08996701553182247,38.57712998147272,ES,ES52,ES521,03011,"Alfàs del Pi, l'",20042,19.24505841,2020,ES_03011,TRUE
ES_03012,-0.7956854489235804,38.08362442584292,ES,ES52,ES521,03012,Algorfa,3125,18.49088126,2020,ES_03012,TRUE
ES_03013,-1.0019865863411213,38.336674103568505,ES,ES52,ES521,03013,Algueña,1326,18.43533839,2020,ES_03013,TRUE
ES_03014,-0.4857890667078882,38.35599536049651,ES,ES52,ES521,03014,Alicante / Alacant,337482,200.86661353,2020,ES_03014,TRUE
ES_03015,-0.7910049248580344,38.11069751508686,ES,ES52,ES521,03015,Almoradí,21208,42.61987841,2020,ES_03015,TRUE
ES_03016,-0.3527166176394563,38.76060905009648,ES,ES52,ES521,03016,Almudaina,109,8.81613191,2020,ES_03016,TRUE
ES_03017,-0.4245251884965759,38.77266757138455,ES,ES52,ES521,03017,"Alqueria d'Asnar, l'",493,0.75962742,2020,ES_03017,TRUE
ES_03018,-0.0517773002523533,38.603494737285644,ES,ES52,ES521,03018,Altea,22558,34.44328191,2020,ES_03018,TRUE
ES_03019,-0.7682724864146581,38.344566287691265,ES,ES52,ES521,03019,Aspe,20804,70.46128924,2020,ES_03019,TRUE
ES_03020,-0.34020478386152764,38.73912226603979,ES,ES52,ES521,03020,Balones,128,11.24176969,2020,ES_03020,TRUE
ES_03021,-0.6573418123057,38.7162545483601,ES,ES52,ES521,03021,Banyeres de Mariola,7090,50.28593756,2020,ES_03021,TRUE
ES_03022,-0.34187625127241494,38.693222905154514,ES,ES52,ES521,03022,Benasau,156,9.0453167,2020,ES_03022,TRUE
ES_03023,-0.7682120580789894,38.701083735698,ES,ES52,ES521,03023,Beneixama,1690,34.91637513,2020,ES_03023,TRUE
ES_03024,-0.8416080995333788,38.07626438289422,ES,ES52,ES521,03024,Benejúzar,5435,9.32488146,2020,ES_03024,TRUE
ES_03025,-0.9648718611516524,38.14065382964211,ES,ES52,ES521,03025,Benferri,1965,12.36880789,2020,ES_03025,TRUE
ES_03026,-0.0035844129270076568,38.82046122891304,ES,ES52,ES521,03026,Beniarbeig,2159,7.40528391,2020,ES_03026,TRUE
ES_03027,-0.21631922734510928,38.68167669145544,ES,ES52,ES521,03027,Beniardá,200,15.72606379,2020,ES_03027,TRUE
ES_03028,-0.3737715900306023,38.81761903200331,ES,ES52,ES521,03028,Beniarrés,1099,20.21298601,2020,ES_03028,TRUE
ES_03029,-0.10274503765332606,38.755321004071625,ES,ES52,ES521,03029,Benigembla,443,18.45498402,2020,ES_03029,TRUE
ES_03030,-0.030208815600694355,38.79030640435819,ES,ES52,ES521,03030,Benidoleig,1078,7.48354498,2020,ES_03030,TRUE
ES_03031,-0.13150025035879478,38.54186386115054,ES,ES52,ES521,03031,Benidorm,70450,38.52734393,2020,ES_03031,TRUE
ES_03032,-0.4011824877106348,38.660344184033015,ES,ES52,ES521,03032,Benifallim,104,13.67189731,2020,ES_03032,TRUE
ES_03033,-0.22708078903789142,38.67172549601131,ES,ES52,ES521,03033,Benifato,136,11.87896841,2020,ES_03033,TRUE
ES_03034,-0.7404252063611767,38.079096614926776,ES,ES52,ES521,03034,Benijófar,3293,4.35682975,2020,ES_03034,TRUE
ES_03035,-0.3888173949324707,38.697375006917426,ES,ES52,ES521,03035,Benilloba,726,9.53484082,2020,ES_03035,TRUE
ES_03036,-0.3745056042758478,38.753666124456814,ES,ES52,ES521,03036,Benillup,100,3.39372909,2020,ES_03036,TRUE
ES_03037,-0.21250203072080442,38.67806207802093,ES,ES52,ES521,03037,Benimantell,497,37.87616702,2020,ES_03037,TRUE
ES_03038,-0.3901105591161692,38.7788939488629,ES,ES52,ES521,03038,Benimarfull,396,5.56797169,2020,ES_03038,TRUE
ES_03039,-0.29358068907200396,38.75301049522017,ES,ES52,ES521,03039,Benimassot,103,9.51818593,2020,ES_03039,TRUE
ES_03040,-0.038582988145167606,38.82428802964381,ES,ES52,ES521,03040,Benimeli,429,3.50606767,2020,ES_03040,TRUE
ES_03041,0.051102636020830594,38.71390340775776,ES,ES52,ES521,03041,Benissa,11288,69.74189476,2020,ES_03041,TRUE
ES_03042,0.14854740506412648,38.73130293452705,ES,ES52,ES521,03042,"Benitachell / Poble Nou de Benitatxell, el",4452,12.68773377,2020,ES_03042,TRUE
ES_03043,-0.7598008223962979,38.62901031925868,ES,ES52,ES521,03043,Biar,3655,98.14489663,2020,ES_03043,TRUE
ES_03044,-0.8974826708802464,38.065123628243754,ES,ES52,ES521,03044,Bigastro,6909,4.09881698,2020,ES_03044,TRUE
ES_03045,-0.10845950969522865,38.674741964085484,ES,ES52,ES521,03045,Bolulla,417,13.58991589,2020,ES_03045,TRUE
ES_03046,-0.4277877566852149,38.47454803554816,ES,ES52,ES521,03046,Busot,3075,33.82468026,2020,ES_03046,TRUE
ES_03047,0.04764819429232957,38.643928487841315,ES,ES52,ES521,03047,Calp,23326,23.50728228,2020,ES_03047,TRUE
ES_03048,-0.12107778445277002,38.65200261203416,ES,ES52,ES521,03048,Callosa d'en Sarrià,7522,34.62707299,2020,ES_03048,TRUE
ES_03049,-0.8768027550672319,38.12388660592966,ES,ES52,ES521,03049,Callosa de Segura,19127,24.86525732,2020,ES_03049,TRUE
ES_03050,-0.3988540218167859,38.428436344708544,ES,ES52,ES521,03050,"Campello, el",28930,55.30723683,2020,ES_03050,TRUE
ES_03051,-0.7802079037193768,38.68922311463954,ES,ES52,ES521,03051,"Campo de Mirra / Camp de Mirra, el",417,21.82191318,2020,ES_03051,TRUE
ES_03052,-0.8125801607369314,38.67642331151379,ES,ES52,ES521,03052,Cañada,1208,19.30126439,2020,ES_03052,TRUE
ES_03053,-0.6719046221098635,38.5929441634574,ES,ES52,ES521,03053,Castalla,10461,114.57306597,2020,ES_03053,TRUE
ES_03054,-0.19709309209914364,38.72655106674348,ES,ES52,ES521,03054,Castell de Castells,437,45.93529001,2020,ES_03054,TRUE
ES_03055,-0.8007808339086501,38.1594389528721,ES,ES52,ES521,03055,Catral,8898,19.99783711,2020,ES_03055,TRUE
ES_03056,-0.44140002485513735,38.73860919282975,ES,ES52,ES521,03056,Cocentaina,11520,52.9707715,2020,ES_03056,TRUE
ES_03057,-0.26826552658654046,38.68563623849008,ES,ES52,ES521,03057,Confrides,261,40.02460863,2020,ES_03057,TRUE
ES_03058,-0.8868830602951338,38.14052671958353,ES,ES52,ES521,03058,Cox,7386,16.75507321,2020,ES_03058,TRUE
ES_03059,-0.810011840311338,38.248640960035985,ES,ES52,ES521,03059,Crevillent,29536,104.54845048,2020,ES_03059,TRUE
ES_03060,-0.31274434369241166,38.723837662039536,ES,ES52,ES521,03060,Quatretondeta,118,16.68997995,2020,ES_03060,TRUE
ES_03061,-0.7662599802398992,38.11137994539126,ES,ES52,ES521,03061,Daya Nueva,1733,7.09038113,2020,ES_03061,TRUE
ES_03062,-0.7311697183670405,38.10590968201635,ES,ES52,ES521,03062,Daya Vieja,731,3.14427461,2020,ES_03062,TRUE
ES_03063,0.10297631495911957,38.83965312850361,ES,ES52,ES521,03063,Dénia,42827,66.19785033,2020,ES_03063,TRUE
ES_03064,-0.7716049017086486,38.13930000892471,ES,ES52,ES521,03064,Dolores,7531,18.67049942,2020,ES_03064,TRUE
ES_03065,-0.7034678742018673,38.26773593626563,ES,ES52,ES521,03065,Elche / Elx,234765,326.58569781,2020,ES_03065,TRUE
ES_03066,-0.7929343486698689,38.47582383843542,ES,ES52,ES521,03066,Elda,52813,45.81993845,2020,ES_03066,TRUE
ES_03067,-0.2683355775864378,38.73753606706969,ES,ES52,ES521,03067,Facheca,107,10.17128602,2020,ES_03067,TRUE
